Date,Close
1/1/2016,435.66
1/2/2016,435.4
1/3/2016,431.91
1/4/2016,433.85
1/5/2016,433.34
1/6/2016,430.87
1/7/2016,459.07
1/8/2016,454.44
1/9/2016,450.38
1/10/2016,449.99
1/11/2016,449.19
1/12/2016,434.01
1/13/2016,432.77
1/14/2016,430.03
1/15/2016,357.53
1/16/2016,388.7
1/17/2016,378.46
1/18/2016,384.89
1/19/2016,375.27
1/20/2016,418.54
1/21/2016,409.38
1/22/2016,382.9
1/23/2016,387.5
1/24/2016,403.05
1/25/2016,391.4
1/26/2016,391.54
1/27/2016,394.79
1/28/2016,379.61
1/29/2016,378.68
1/30/2016,378.46
1/31/2016,367.95
2/1/2016,371.33
2/2/2016,372.93
2/3/2016,368.87
2/4/2016,387.99
2/5/2016,384.5
2/6/2016,375.44
2/7/2016,377.49
2/8/2016,371.14
2/9/2016,372.68
2/10/2016,378.44
2/11/2016,378.23
2/12/2016,382.05
2/13/2016,391
2/14/2016,406.59
2/15/2016,398.95
2/16/2016,407.42
2/17/2016,415.2
2/18/2016,421.19
2/19/2016,420.72
2/20/2016,437.46
2/21/2016,438.56
2/22/2016,437.55
2/23/2016,419.97
2/24/2016,423.94
2/25/2016,423.54
2/26/2016,430.85
2/27/2016,433.12
2/28/2016,433.73
2/29/2016,436.44
3/1/2016,433.08
3/2/2016,420.39
3/3/2016,418.8
3/4/2016,407.35
3/5/2016,396.08
3/6/2016,403.24
3/7/2016,412.21
3/8/2016,411.18
3/9/2016,412.8
3/10/2016,415.98
3/11/2016,419.39
3/12/2016,410.58
3/13/2016,412.52
3/14/2016,415.02
3/15/2016,415.41
3/16/2016,416.07
3/17/2016,418.41
3/18/2016,409.65
3/19/2016,410.2
3/20/2016,411.27
3/21/2016,412
3/22/2016,416.66
3/23/2016,417.53
3/24/2016,412.95
3/25/2016,416.41
3/26/2016,416.97
3/27/2016,425.3
3/28/2016,423
3/29/2016,416.39
3/30/2016,412.79
3/31/2016,416.03
4/1/2016,417.68
4/2/2016,419.95
4/3/2016,420.16
4/4/2016,419.47
4/5/2016,422.36
4/6/2016,421.46
4/7/2016,421.99
4/8/2016,419.48
4/9/2016,419.46
4/10/2016,423.4
4/11/2016,423.94
4/12/2016,427.8
4/13/2016,425.58
4/14/2016,426.32
4/15/2016,430.93
4/16/2016,433.39
4/17/2016,431
4/18/2016,430.97
4/19/2016,437.06
4/20/2016,442.96
4/21/2016,452.25
4/22/2016,448.41
4/23/2016,455.69
4/24/2016,464.46
4/25/2016,466.17
4/26/2016,470.59
4/27/2016,445.31
4/28/2016,451.68
4/29/2016,458.82
4/30/2016,454.02
5/1/2016,456.98
5/2/2016,446.42
5/3/2016,452.21
5/4/2016,448.68
5/5/2016,449.98
5/6/2016,462.31
5/7/2016,461.91
5/8/2016,462.79
5/9/2016,464.16
5/10/2016,452.78
5/11/2016,454.37
5/12/2016,456.48
5/13/2016,457.98
5/14/2016,458.9
5/15/2016,461.47
5/16/2016,455.66
5/17/2016,454.19
5/18/2016,455.56
5/19/2016,438.38
5/20/2016,445.65
5/21/2016,446.28
5/22/2016,442.48
5/23/2016,445.67
5/24/2016,446.99
5/25/2016,451.49
5/26/2016,454.97
5/27/2016,471.27
5/28/2016,523.25
5/29/2016,525.22
5/30/2016,532.55
5/31/2016,531.34
6/1/2016,534.84
6/2/2016,537.87
6/3/2016,571.25
6/4/2016,576.31
6/5/2016,575.17
6/6/2016,586.77
6/7/2016,579.71
6/8/2016,583.21
6/9/2016,577.46
6/10/2016,580.31
6/11/2016,609.5
6/12/2016,677.86
6/13/2016,706.01
6/14/2016,684.95
6/15/2016,698.78
6/16/2016,769.76
6/17/2016,752.26
6/18/2016,758.99
6/19/2016,768.76
6/20/2016,703.12
6/21/2016,667.66
6/22/2016,604.5
6/23/2016,631.1
6/24/2016,669.98
6/25/2016,673.71
6/26/2016,638.56
6/27/2016,657.87
6/28/2016,648.43
6/29/2016,639.42
6/30/2016,673.49
7/1/2016,678.19
7/2/2016,704.95
7/3/2016,663.55
7/4/2016,681.98
7/5/2016,669.87
7/6/2016,678.79
7/7/2016,641.97
7/8/2016,667.33
7/9/2016,657.61
7/10/2016,652.44
7/11/2016,650.97
7/12/2016,666.56
7/13/2016,655.34
7/14/2016,661.65
7/15/2016,667.48
7/16/2016,666.32
7/17/2016,680
7/18/2016,675.5
7/19/2016,673.98
7/20/2016,666.92
7/21/2016,667.28
7/22/2016,654.67
7/23/2016,657.5
7/24/2016,661
7/25/2016,657.79
7/26/2016,654.06
7/27/2016,657.35
7/28/2016,657.4
7/29/2016,657
7/30/2016,655.87
7/31/2016,626.97
8/1/2016,605.2
8/2/2016,537.47
8/3/2016,573.36
8/4/2016,587.5
8/5/2016,583
8/6/2016,591.71
8/7/2016,595.14
8/8/2016,591.48
8/9/2016,586.45
8/10/2016,594.94
8/11/2016,587.91
8/12/2016,587.74
8/13/2016,586.45
8/14/2016,574.99
8/15/2016,567.79
8/16/2016,579.02
8/17/2016,574.45
8/18/2016,574.09
8/19/2016,573.67
8/20/2016,581.87
8/21/2016,581.29
8/22/2016,585.2
8/23/2016,582.39
8/24/2016,578.47
8/25/2016,575.58
8/26/2016,579.29
8/27/2016,570.84
8/28/2016,575.41
8/29/2016,573.21
8/30/2016,574.95
8/31/2016,572.89
9/1/2016,573.02
9/2/2016,576.21
9/3/2016,600.91
9/4/2016,611.92
9/5/2016,605.69
9/6/2016,612.99
9/7/2016,615.21
9/8/2016,627.97
9/9/2016,622.07
9/10/2016,623.74
9/11/2016,607.94
9/12/2016,606.74
9/13/2016,608.63
9/14/2016,608.43
9/15/2016,605.44
9/16/2016,607.93
9/17/2016,607.92
9/18/2016,611.4
9/19/2016,608.6
9/20/2016,605.6
9/21/2016,597
9/22/2016,596.21
9/23/2016,602.96
9/24/2016,603.68
9/25/2016,601.67
9/26/2016,607.08
9/27/2016,605.71
9/28/2016,605.04
9/29/2016,605.99
9/30/2016,608.99
10/1/2016,615.65
10/2/2016,612.4
10/3/2016,612.99
10/4/2016,610.34
10/5/2016,613.16
10/6/2016,611.88
10/7/2016,617.98
10/8/2016,619.5
10/9/2016,617.42
10/10/2016,618.72
10/11/2016,642.12
10/12/2016,635.79
10/13/2016,635.66
10/14/2016,638.03
10/15/2016,638.16
10/16/2016,641.92
